t,x,y,z,vx,vy,vz,roll,pitch,yaw,wx,wy,wz,rpm0,rpm1,rpm2,rpm3
2.875000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
2.895833333333333037e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.975692797863919270e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.492503921263629546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518875216388537774e+04,1.518875216388538138e+04,1.518875216388538138e+04,1.518875216388538138e+04
2.916666666666666519e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
2.937500000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.975692797863919270e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.492503921263629546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518875216388537774e+04,1.518875216388538138e+04,1.518875216388538138e+04,1.518875216388538138e+04
2.958333333333333037e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
2.979166666666666519e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.975692797863919270e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.492503921263629546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518875216388537774e+04,1.518875216388538138e+04,1.518875216388538138e+04,1.518875216388538138e+04
3.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
3.020833333333333037e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.975692797863919270e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.492503921263629546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518875216388537774e+04,1.518875216388538138e+04,1.518875216388538138e+04,1.518875216388538138e+04
3.041666666666666519e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
3.062500000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.975692797863919270e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.492503921263629546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518875216388537774e+04,1.518875216388538138e+04,1.518875216388538138e+04,1.518875216388538138e+04
3.083333333333333037e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
3.104166666666666519e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.975692797863919270e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.492503921263629546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518875216388537774e+04,1.518875216388538138e+04,1.518875216388538138e+04,1.518875216388538138e+04
3.125000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
3.145833333333333037e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.975692797863919270e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.492503921263629546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518875216388537774e+04,1.518875216388538138e+04,1.518875216388538138e+04,1.518875216388538138e+04
3.166666666666666519e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
3.187500000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.975692797863919270e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.492503921263629546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518875216388537774e+04,1.518875216388538138e+04,1.518875216388538138e+04,1.518875216388538138e+04
3.208333333333333037e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
3.229166666666666519e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.975692797863919270e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.492503921263629546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518875216388537774e+04,1.518875216388538138e+04,1.518875216388538138e+04,1.518875216388538138e+04
3.250000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
3.270833333333333037e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.975692797863919270e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.492503921263629546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518875216388537774e+04,1.518875216388538138e+04,1.518875216388538138e+04,1.518875216388538138e+04
3.291666666666666519e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
3.312500000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.975692797863919270e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.492503921263629546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518875216388537774e+04,1.518875216388538138e+04,1.518875216388538138e+04,1.518875216388538138e+04
3.333333333333333037e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
3.354166666666666519e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.975692797863919270e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.492503921263629546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518875216388537774e+04,1.518875216388538138e+04,1.518875216388538138e+04,1.518875216388538138e+04
3.375000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04,1.519700622699515407e+04
