t,x,y,z,vx,vy,vz,roll,pitch,yaw,wx,wy,wz,rpm0,rpm1,rpm2,rpm3
2.625000000000000000e+00,3.314529028796057465e-16,1.158704689553693480e-16,7.745302753457145029e-01,-5.120276879929657685e-16,-1.187216931896708049e-17,1.687538569298689395e-01,2.350372982633157527e-17,3.916068245037386826e-17,-1.784543100288832878e-16,-5.795974678911865121e-16,5.796863596378239233e-16,3.122794974461876460e-15,1.440338552471444382e+04,1.440338552471444200e+04,1.440338552471443836e+04,1.440338552471444200e+04
2.645833333333333037e+00,3.208706802334948914e-16,1.155744480541208578e-16,7.780242047860559396e-01,-5.037992286532130412e-16,-1.678931646982202066e-17,1.666636383246213882e-01,3.332141112257391442e-17,3.698613748429127428e-17,-1.642275959307889604e-16,1.159590397667688460e-15,-1.159501507439190196e-15,-1.457177296004927579e-15,1.440392174596812947e+04,1.440392174596811674e+04,1.440392174596812583e+04,1.440392174596811674e+04
2.666666666666666519e+00,3.104406290657325122e-16,1.151422366846251838e-16,7.814747637205080588e-01,-4.982675704447741283e-16,-2.548492203683901611e-17,1.645902829154770319e-01,5.747933811421492301e-17,1.283006235659692633e-17,-1.945852890159403523e-16,1.159570593586219971e-15,-1.159481704875834622e-15,-1.457161240199090911e-15,1.440446506534531545e+04,1.440446506534531545e+04,1.440446506534531545e+04,1.440446506534531545e+04
2.687500000000000000e+00,3.000777673372495097e-16,1.144807990741132825e-16,7.848823050632567355e-01,-4.970363482043503878e-16,-3.848232456718200946e-17,1.625339441326215661e-01,7.286722526745735668e-17,1.235209946502716427e-18,-2.147076120689373891e-16,9.881191291478362907e-20,-9.924720616664707888e-21,-8.326082033652465656e-16,1.440501498172054926e+04,1.440501498172055290e+04,1.440501498172055290e+04,1.440501498172055290e+04
2.708333333333333037e+00,2.897298848548643327e-16,1.135275855564734366e-16,7.882471847875391902e-01,-4.957661137930905184e-16,-5.224331511620841300e-17,1.604947622167016419e-01,4.143543263722734434e-17,2.442414570064291730e-17,-2.140117691792734554e-16,-3.478257123564828872e-15,2.318894031309004392e-15,6.246539268146548885e-16,1.440557101182186489e+04,1.440557101182187034e+04,1.440557101182187216e+04,1.440557101182187216e+04
2.729166666666666519e+00,2.794745320318531146e-16,1.123856508413642649e-16,7.915697616560226635e-01,-4.874964600947720529e-16,-5.534912653649859515e-17,1.584728647141346869e-01,-1.894997950080617740e-17,6.065636633601125189e-17,-2.075038229001366991e-16,-2.318745742169904347e-15,1.159402450113510002e-15,1.100629042548320564e-19,1.440613268967767181e+04,1.440613268967766817e+04,1.440613268967766817e+04,1.440613268967766817e+04
2.750000000000000000e+00,2.694542230423179100e-16,1.112906678249126849e-16,7.948503969613356368e-01,-4.741325398464115539e-16,-4.904723615312353141e-17,1.564683669563231849e-01,-3.177002317723267313e-17,6.862687191721564639e-17,-2.106251423465931236e-16,1.978144230929862950e-19,-5.797953176531847866e-16,-8.326059132483556397e-16,1.440669956608033317e+04,1.440669956608032953e+04,1.440669956608032771e+04,1.440669956608032771e+04
2.770833333333333037e+00,2.597150683864954668e-16,1.103358310380614199e-16,7.980894542764190858e-01,-4.612174493964315700e-16,-4.261722994485257298e-17,1.544813725232867807e-01,-3.176590207860975847e-17,5.654790594601334667e-17,-2.279710033098223216e-16,1.978110447164783068e-19,-5.797854156104213942e-16,-8.325967392384953666e-16,1.440727120806609310e+04,1.440727120806609310e+04,1.440727120806609310e+04,1.440727120806609310e+04
2.791666666666666519e+00,2.502254301536499488e-16,1.095074392003598859e-16,8.012872992143800221e-01,-4.498660500234945186e-16,-3.726594308708250980e-17,1.525119736922087021e-01,-2.603734942759675205e-17,5.171642682852085305e-17,-2.154791892705533625e-16,-5.795281812986327857e-16,-5.797755137367699597e-16,2.081918346959896932e-15,1.440784719841071455e+04,1.440784719841072183e+04,1.440784719841071455e+04,1.440784719841072183e+04
2.812500000000000000e+00,2.409547667513848357e-16,1.087935067969503593e-16,8.044442991975375712e-01,-4.406652878690480938e-16,-3.072409410935439886e-17,1.505602518713756999e-01,-4.414957967979326212e-17,3.359904386119733354e-17,-2.241509733383250243e-16,-1.159244272783191893e-15,-1.159491600997258374e-15,-2.914400442150733910e-15,1.440842713514038769e+04,1.440842713514037496e+04,1.440842713514038769e+04,1.440842713514037678e+04
2.833333333333333037e+00,2.318384448831407787e-16,1.082534396979705812e-16,8.075608232353623794e-01,-4.347207220617852130e-16,-2.108635714171496656e-17,1.486262780199776867e-01,-4.599078440384977423e-17,3.166626722588258712e-17,-2.369004062521992847e-16,2.275033170385353457e-19,1.159432157257031427e-15,1.457390538400558979e-15,1.440901063105740650e+04,1.440901063105741923e+04,1.440901063105740832e+04,1.440901063105741559e+04
2.854166666666666519e+00,2.228565271164789223e-16,1.079125594451315537e-16,8.106372417110178086e-01,-4.272304050921890151e-16,-1.148185063738456786e-17,1.467101130542160792e-01,-5.202487436607473182e-17,3.770440884788270178e-17,-1.956955948063003907e-16,-5.794984895334105917e-16,-5.797656110170173797e-16,2.498269448919988646e-15,1.440959731328036469e+04,1.440959731328036469e+04,1.440959731328036287e+04,1.440959731328036651e+04
